店舗名,郵便番号,住所,電話番号,FAX番号,ホームページURL,メールアドレス,座席数,個室情報
"大阪 日本料理 河久 梅田店","530-0001","大阪府大阪市北区梅田1-1-3300 大阪駅前第3ビル33F","050-5798-0985","","http://www.kawakyu.net","","230席 座敷席あり 掘りごたつ席あり 夜景が見える","掘りごたつ個室あり（30名～36名様用） 掘りごたつ個室あり（12名～16名様用） 掘りごたつ個室あり（8名～12名様用） 掘りごたつ個室あり（40名～48名様用） 掘りごたつ個室あり（5名～8名様用） ※個室の詳細はお店にお問い合わせください"
"割烹 会席料理 松ヶ枝","553-0005","大阪府大阪市福島区野田3-6-9","050-5797-5080","","","","230席 座敷席あり 掘りごたつ席あり 座椅子あり カウンター席あり","座敷個室あり（3名～20名様用/扉・壁あり） 座敷個室あり（20名～40名様用/扉・壁あり） 座敷個室あり（40名～90名様用/扉・壁あり） テーブル個室あり（3名～60名様用/扉・壁あり） 掘りごたつ個室あり（2名～4名様用/扉・壁あり） ※個室の詳細はお店にお問い合わせください"
"焼肉・しゃぶしゃぶ たちばな ヒルトンプラザ イースト店","530-0001","大阪府大阪市北区梅田1-8-16 ヒルトンプラザB2","050-5798-6836","","","","82席","掘りごたつ個室あり（12名～28名様用） 掘りごたつ個室あり（6名～11名様用） 掘りごたつ個室あり（2名～6名様用） ※個室の詳細はお店にお問い合わせください"
"龍の巣 梅田店","530-0027","大阪府大阪市北区堂山町2-16 五孝ビル1・2F","050-5798-0439","","http://www.ryu-nosu.co.jp","","60席 カウンター席あり",""
"博多もつ鍋 おおやま 大阪駅店","530-0001","大阪府大阪市北区梅田3-1-3 LUCUA1100 10F","050-5786-3999","","","","130席",""
"鶏と野菜居酒屋 かしわ家 福島","553-0003","大阪府大阪市福島区福島5-8-12 丸市ビル2F","050-5787-0523","","","","52席 座敷席あり 掘りごたつ席あり テラス・屋外席あり 夜景が見える","掘りごたつ個室あり（1室/7名～10名様用/扉・壁あり） 掘りごたつ個室あり（1室/24名～28名様用/扉・壁あり） テーブル個室あり（1室/10名～17名様用/扉・壁あり） ※個室の詳細はお店にお問い合わせください"
"本みやけ","530-0012","大阪府大阪市北区芝田1-1-3 阪急三番街南館B2","06-6371-5322","","","","16席",""
"国産もつ鍋・但馬鶏鍋 ムゥタン","530-0002","大阪府大阪市北区曽根崎新地1-1-30 ぼたんビル4F","06-6344-2506","","http://www.mudan.jp","","42席 座敷席あり 掘りごたつ席あり","掘りごたつ個室あり（2名～4名様用） 掘りごたつ個室あり（4名～6名様用） 掘りごたつ個室あり（10名～14名様用） ※個室の詳細はお店にお問い合わせください"
"豚美 福島店","553-0003","大阪府大阪市福島区福島5-14-8","06-6455-8014","","","","80席 座敷席あり","掘りごたつ個室あり（1室/20名～35名様用） ※個室の詳細はお店にお問い合わせください"
"しゃぶしゃぶ・すき焼き食べ放題 但馬屋 ヨドバシ梅田店","530-0011","大阪府大阪市北区大深町1-1 ヨドバシ梅田ビル8F","050-5789-8455","06-6100-2721","http://www.d-diner.net/","info@d-diner.net","45席",""
"相撲茶屋 寺尾 大阪店","530-0001","大阪府大阪市北区梅田2-4-6","050-5799-5531","","http://www.sumouchaya-terao.com/","","42席 座敷席あり","掘りごたつ個室あり（5名～10名様用） ※個室の詳細はお店にお問い合わせください"
"しゃぶ扇 野田阪神店","553-0001","大阪府大阪市福島区海老江1-1-23 ウイステ4F","050-5797-1069","","","","90席 座敷席あり 掘りごたつ席あり カウンター席あり ソファー席あり",""
"海鮮居酒屋 時の雫 北新地店","530-0004","大阪府大阪市北区堂島浜1-3-16 ナカニシビル2F","050-5798-4534","","http://www.hanshin-shokuhin.co.jp/","","140席 座敷席あり 掘りごたつ席あり","掘りごたつ個室あり（2室/40名～60名様用/扉・壁あり） 掘りごたつ個室あり（5室/20名～40名様用/扉・壁あり） 掘りごたつ個室あり（8室/2名～4名様用/扉・壁あり） 掘りごたつ個室あり（7室/6名～8名様用/扉・壁あり） 掘りごたつ個室あり（8室/10名～20名様用/扉・壁あり） ※個室の詳細はお店にお問い合わせください"
"カニとフグの専門店 福島 かにふぐ家","553-0003","大阪府大阪市福島区福島7-21-7","050-5785-8621","","","","120席 掘りごたつ席あり","掘りごたつ個室あり（5室/4名～50名様用/扉・壁あり） ※個室の詳細はお店にお問い合わせください"
"知慕里","530-0051","大阪府大阪市北区太融寺町7-2","06-6313-4495","","","","188席 掘りごたつ席あり","テーブル個室あり（13名～24名様用） 掘りごたつ個室あり（25名～56名様用） 掘りごたつ個室あり（2名～4名様用） 掘りごたつ個室あり（5名～8名様用） 掘りごたつ個室あり（9名～12名様用） ※個室の詳細はお店にお問い合わせください"
"中村屋","530-0027","大阪府大阪市北区堂山町5-3 堂山タウンビルB1","050-5799-1198","","http://www.landmarkco.jp/","","40席 カウンター席あり",""
"水たき いろは 梅田店","531-0072","大阪府大阪市北区豊崎2-4-24","050-5797-6339","","","","42席","テーブル個室あり（4名～6名様用） テーブル個室あり（8名～12名様用） ※個室の詳細はお店にお問い合わせください"
"個室和食 旬和席 うおまん E－ma梅田店","530-0001","大阪府大阪市北区梅田1-12-6 イーマ5F","050-5799-4948","","http://uoman-group.com/","","120席 掘りごたつ席あり","掘りごたつ個室あり（40名様用） 掘りごたつ個室あり（20名～24名様用/扉・壁あり） 掘りごたつ個室あり（3名～8名様用） 掘りごたつ個室あり（9名～14名様用/扉・壁あり） テーブル個室あり（4名～6名様用） ※個室の詳細はお店にお問い合わせください"
"ごま厨","553-0003","大阪府大阪市福島区福島3-11-26","050-5789-2112","06-6147-8555","http://www.gomachu.net/","","48席 座敷席あり 掘りごたつ席あり","掘りごたつ個室あり（6名～30名様用） 掘りごたつ個室あり（8名～12名様用） テーブル個室あり（4名様用～） 掘りごたつ個室あり（4名～22名様用） ※個室の詳細はお店にお問い合わせください"
"北新地本通り チャイニーズ 響香","530-0002","大阪府大阪市北区曽根崎新地1-1-41 アストリアジロービル1F","06-4256-8668","","","","30席 ソファー席あり",""
"串焼屋 うなちった","530-0057","大阪府大阪市北区曽根崎2-10-19 河合ビルB1","050-5798-5347","","","","50席 座敷席あり カウンター席あり","座敷個室あり（12名～30名様用） テーブル個室あり（4名～8名様用） ※個室の詳細はお店にお問い合わせください"
"熊本 馬源","530-0027","大阪府大阪市北区堂山町15-17 ACTⅢ2F","050-5522-5239","","","","28席 カウンター席あり ソファー席あり","テーブル個室あり（4名～6名様用/パーティション仕切り） テーブル個室あり（2名～10名様用/パーティション仕切り） テーブル個室あり（2名～4名様用/パーティション仕切り） ※個室の詳細はお店にお問い合わせください"
"老舗しゃぶしゃぶ専門店しゃぶ亭 西梅田店","530-0001","大阪府大阪市北区梅田2-1-15","050-5785-9079","","","","55席 カウンター席あり",""
"しゃぶしゃぶ 花の小町 梅田店","530-0018","大阪府大阪市北区小松原町1-27 エビスビル8F","050-5787-6086","","","","55席",""
"しゃぶ菜 阪急三番街","530-0012","大阪府大阪市北区芝田1-1-3 阪急三番街北館B2","06-6377-8282","","http://www.create-restaurants.co.jp/","","74席",""
"遊食酒家 る主水 福島店","553-0003","大阪府大阪市福島区福島6-4-10 ウエストビル1F","050-5522-4024","","http://www.lemonde-jp.com","","76席 座敷席あり 掘りごたつ席あり カウンター席あり ソファー席あり 円卓あり","テーブル個室あり（8名～10名様用） テーブル個室あり（2名～4名様用） 掘りごたつ個室あり（4名～10名様用） 掘りごたつ個室あり（20名～35名様用） テーブル個室あり（3名～6名様用） ※個室の詳細はお店にお問い合わせください"
"shave ice cafe","531-0025","大阪府大阪市北区大淀南1-2-17","050-5788-3883","","","","70席",""
"お座敷個室の宴会場鳥よし茶屋 梅田お初天神店","530-0057","大阪府大阪市北区曽根崎2-1-9","050-5798-1435","","http://www.toricha.com/","","250席 座敷席あり 掘りごたつ席あり 座椅子あり カウンター席あり カップルシートあり","掘りごたつ個室あり（2名～25名様用/扉・壁あり） 座敷個室あり（2名～120名様用/扉・壁あり） テーブル個室あり（2名～32名様用/扉・壁あり） テーブル個室あり（3名～12名様用/扉・壁あり） ※個室の詳細はお店にお問い合わせください"
"炉ばた焼 網衆","530-0015","大阪府大阪市北区中崎西2-2-6","050-5797-7903","","http://www.rikimaru-group.com/","","43席 座敷席あり 掘りごたつ席あり","掘りごたつ個室あり（4名様用～） 掘りごたつ個室あり（6名様用～） 掘りごたつ個室あり（8名様用～） ※個室の詳細はお店にお問い合わせください"
"焼肉・すき焼き 純 梅田本店","530-0017","大阪府大阪市北区角田町7-10 HEPナビオ7F","050-5787-8938","","","","66席 掘りごたつ席あり カウンター席あり","テーブル個室あり（1室/8名様用/扉・壁あり） 掘りごたつ個室あり（1室/26名様用/扉・壁あり） テーブル個室あり（1室/5名～8名様用） ※個室の詳細はお店にお問い合わせください"
"個室 和食 京ほのか 梅田店","530-0018","大阪府大阪市北区小松原町1-10 梅田パルビル5F","050-5798-0771","","","","150席 掘りごたつ席あり 夜景が見える","掘りごたつ個室あり（6室/2名～4名様用） 掘りごたつ個室あり（4室/6名～10名様用） 掘りごたつ個室あり（4室/10名～20名様用） 掘りごたつ個室あり（4室/20名～30名様用） 掘りごたつ個室あり（1室/50名～100名様用） ※個室の詳細はお店にお問い合わせください"
"王道居酒屋 のりを 東梅田店","530-0018","大阪府大阪市北区小松原町1-26 寿楽ビル9F","050-5797-0227","","","","108席","掘りごたつ個室あり（1室/35名様用） ※個室の詳細はお店にお問い合わせください"
"OSAKA OSAKE DINING スクナビコナ","530-0057","大阪府大阪市北区曽根崎2-7-2 梅新会館2F","050-5788-6849","","http://www.sukunabikona.jp/","","21席 ソファー席あり","テーブル個室あり（1室/15名～21名様用） ※個室の詳細はお店にお問い合わせください"
"ふぐ良 独歩 福島店","531-0075","大阪府大阪市北区大淀南2-7-4 1F","050-5789-0930","","http://www.fuguyoshi.com/","info@fuguyoshi.com","36席 掘りごたつ席あり 座椅子あり カウンター席あり","掘りごたつ個室あり（4名様用/カーテン仕切り） 掘りごたつ個室あり（6名様用/カーテン仕切り） 掘りごたつ個室あり（8名様用/カーテン仕切り） 掘りごたつ個室あり（10名様用/カーテン仕切り） 掘りごたつ個室あり（10名～28名様用/カーテン仕切り） ※個室の詳細はお店にお問い合わせください"
"桜肉料理 馬春楼","530-0002","大阪府大阪市北区堂島1-3-34","050-5798-2483","","","","60席 座敷席あり 掘りごたつ席あり 座椅子あり カウンター席あり","掘りごたつ個室あり（4室/2名～20名様用/扉・壁あり） 座敷個室あり（3室/2名～30名様用/扉・壁あり） テーブル個室あり（2名～6名様用/カーテン仕切り） ※個室の詳細はお店にお問い合わせください"
"土佐料理 司 梅田茶屋町店","530-0013","大阪府大阪市北区茶屋町19-19 アプローズタワーB1","050-5786-1595","","http://www.kazuoh.com/","","114席","テーブル個室あり（2名～4名様用） テーブル個室あり（20名～32名様用） テーブル個室あり（4名～6名様用） テーブル個室あり（5名～8名様用） テーブル個室あり（8名～24名様用） ※個室の詳細はお店にお問い合わせください"
"北新地 空海 SORAUMI","530-0002","大阪府大阪市北区曽根崎新地1-7-27 KOTOYAビル2F","050-5788-6424","","","","24席 掘りごたつ席あり カウンター席あり",""
"圓石別館","530-0002","大阪府大阪市北区曽根崎新地1-5-21 松木興産ビル8F","06-4798-0080","","","","28席 カップルシートあり 夜景が見える","テーブル個室あり（5室/2名～20名様用/扉・壁あり） テーブル個室あり（1室/2名様用/パーティション仕切り） ※個室の詳細はお店にお問い合わせください"
"宮崎県日向市　塚田農場 梅田お初天神通り店","530-0057","大阪府大阪市北区曽根崎2-8-13 B1","050-5799-3516","","http://www.tsukadanojo.jp/shop/0058/","","100席 座敷席あり 掘りごたつ席あり カウンター席あり",""
"個室 和食居酒屋 ゆずの庭 梅田店","530-0018","大阪府大阪市北区小松原町1-10 梅田パルビル6F","050-5798-0772","","","","190席 座敷席あり 掘りごたつ席あり カップルシートあり 夜景が見える","掘りごたつ個室あり（2名～160名様用） ※個室の詳細はお店にお問い合わせください"
"阪急うめだ本店 地鶏づくし 吹上舎","530-8350","大阪府大阪市北区角田町8-7 阪急うめだ本店12F","050-5796-3184","","","","32席","テーブル個室あり（10名～18名様用） ※個室の詳細はお店にお問い合わせください"
"個室 和食 梅田丸岸","530-0001","大阪府大阪市北区梅田1-1-3 大阪駅前第3ビルB2-70","050-5798-1985","","","","92席 掘りごたつ席あり カウンター席あり","掘りごたつ個室あり（6名～16名様用） 掘りごたつ個室あり（6名～24名様用） 掘りごたつ個室あり（6名～40名様用） テーブル個室あり（10名～14名様用） テーブル個室あり（3名～16名様用） ※個室の詳細はお店にお問い合わせください"
"北海道料理 弁天別館","530-0027","大阪府大阪市北区堂山町6-9","06-6361-5155","","","","410席 座敷席あり 掘りごたつ席あり 座椅子あり カウンター席あり","掘りごたつ個室あり（10室/2名～8名様用/扉・壁あり） 座敷個室あり（8室/8名～40名様用/扉・壁あり） テーブル個室あり（2室/16名～40名様用/カーテン仕切り） 座敷個室あり（2室/20名～80名様用/扉・壁あり） ※個室の詳細はお店にお問い合わせください"
"近江軍鶏と近江牛 酉文 阪急グランドビル店","530-0017","大阪府大阪市北区角田町8-47 阪急グランドビル28F","050-5798-2374","","","","35席 カウンター席あり","テーブル個室あり（4名～12名様用） テーブル個室あり（25名～35名様用） ※個室の詳細はお店にお問い合わせください"
"板前酒場 味き多","530-0027","大阪府大阪市北区堂山町15-17 梅田アクト3（スリー） 2F","050-5798-4651","","","","50席 座敷席あり 掘りごたつ席あり カウンター席あり","掘りごたつ個室あり（4名～22名様用/扉・壁あり） テーブル個室あり（30名～150名様用/扉・壁あり） ※個室の詳細はお店にお問い合わせください"
"ブドウヤ&times;マンゲイラ","530-0012","大阪府大阪市北区芝田1-7-2 阪急かっぱ横丁1F","050-5789-5013","","","","60席 カウンター席あり",""
"新世界 串カツ いっとく 大阪駅前第三ビル店","530-0001","大阪府大阪市北区梅田1-1-3","050-5785-0793","06-6920-6088","http://www.to-kosan.com/","info@to-kosan.com","80席 掘りごたつ席あり カウンター席あり","掘りごたつ個室あり（12名様用） ※個室の詳細はお店にお問い合わせください"
"鉄板焼鳥ニワ 北新地店","530-0003","大阪府大阪市北区堂島1-5-7 堂島グランドビル南側別館2F","06-6348-4128","","http://niwa4128.com/","","56席 掘りごたつ席あり カウンター席あり","掘りごたつ個室あり（2名～4名様用） 掘りごたつ個室あり（6名～12名様用） 掘りごたつ個室あり（6名～24名様用） 掘りごたつ個室あり（20名～40名様用） ※個室の詳細はお店にお問い合わせください"
"本気炭火焼き鳥料理 壱屋 福島店","553-0003","大阪府大阪市福島区福島7-11-52","050-5798-0719","","","","43席 カウンター席あり ソファー席あり","テーブル個室あり（2名～16名様用） ※個室の詳細はお店にお問い合わせください"
"麦とろ自然生物語","530-0001","大阪府大阪市北区梅田3-1-1 大阪ステーションシティサウスゲートビルディング16F","050-5785-4348","","","","50席",""
"うたげどころ うぉっしゅ","530-0002","大阪府大阪市北区曽根崎新地2-3-13 若杉大阪駅前ビルB1","050-5785-9217","","","","76席 カウンター席あり","テーブル個室あり（1室/～12名様用/扉・壁あり） ※個室の詳細はお店にお問い合わせください"
"元祖鉄板鍋 きのした 西梅田","530-0003","大阪府大阪市北区堂島2-2-33-B1","050-5799-0597","","","","36席 座敷席あり","座敷個室あり（7名～9名様用/パーティション仕切り） ※個室の詳細はお店にお問い合わせください"
"博多華味鳥 北新地店","530-0002","大阪府大阪市北区曽根崎新地2-3-21 axビル10F","050-5798-2156","092-641-1278 092-632-2370","http://www.hanamidori.net/","","164席","掘りごたつ個室あり（8名様用～） テーブル個室あり（10名様用～） テーブル個室あり（8名様用～） ※個室の詳細はお店にお問い合わせください"
"カニと海鮮 Dining 琴引","530-0017","大阪府大阪市北区角田町8-47 阪急グランドビル28F","050-5799-1684","","http://www.dining-kotobiki.com/","","32席 夜景が見える","テーブル個室あり（5名～8名様用） ※個室の詳細はお店にお問い合わせください"
"博多水たき料亭 博多華味鳥 梅田店","530-0001","大阪府大阪市北区梅田1-8-16 ヒルトンプラザイーストB2","050-5798-2160","092-641-1278 092-632-2370","http://www.hanamidori.net/","","52席",""
"厳選野菜と豚しゃぶ食べ放題 黄金屋 梅田店","530-0001","大阪府大阪市北区梅田1-1-3 大阪駅前第3ビル33F","050-5787-8780","","","","260席","テーブル個室あり（2名～6名様用） ※個室の詳細はお店にお問い合わせください"
"foods grill 焼栄","530-0001","大阪府大阪市北区梅田2-4-43 浪漫倶楽部ビル2F","050-5797-1657","","","","30席 座椅子あり カウンター席あり ソファー席あり","テーブル個室あり（1室/15名～20名様用/パーティション仕切り） ※個室の詳細はお店にお問い合わせください"
"食べ放題専門学校 居酒屋 6年4組 北新地分校","530-0002","大阪府大阪市北区曽根崎新地1-8-19 梅新ビル4F","050-5798-8804","","http://www.6nen4kumi.com/","","130席 座敷席あり 掘りごたつ席あり","掘りごたつ個室あり（2名～40名様用） テーブル個室あり（2名～60名様用） 座敷個室あり（2名～30名様用） ※個室の詳細はお店にお問い合わせください"
"天然ふぐ料理 堂島幸鶴","530-0004","大阪府大阪市北区堂島浜1-4-4 アクア堂島フォンターナ1F","050-5799-0816","","","","68席 座敷席あり 掘りごたつ席あり カウンター席あり 円卓あり","掘りごたつ個室あり（2名～12名様用） 座敷個室あり（2名～6名様用） テーブル個室あり（4名～6名様用） ※個室の詳細はお店にお問い合わせください"
"中津からあげと博多串焼き 九州屋台 寅男 茶屋町店","530-0013","大阪府大阪市北区茶屋町4-13 茶屋町KビルB1","050-5797-4378","","","","74席",""
"しゃぶしゃぶ温野菜 阪急東通店","530-0027","大阪府大阪市北区堂山町2-11 MKビートルビル3F","050-5797-2152","","","","56席 掘りごたつ席あり","テーブル半個室あり（2名～6名様用） 掘りごたつ半個室あり（4名～12名様用） 掘りごたつ半個室あり（18名様用～） 掘りごたつ半個室あり（30名様用～） ※個室の詳細はお店にお問い合わせください"
"日本料理 八幸","530-0057","大阪府大阪市北区曽根崎2-8-9 八幸ビル3～4F","050-5797-7497","","","","370席 座敷席あり 掘りごたつ席あり 座椅子あり","座敷個室あり（2名～120名様用） 掘りごたつ個室あり（2名～10名様用） テーブル個室あり（2名～32名様用） 座敷個室あり（14名～24名様用） 掘りごたつ個室あり（6名～14名様用） ※個室の詳細はお店にお問い合わせください"
"有馬 日本料理 しゃぶしゃぶ 鉄板焼","530-0012","大阪府大阪市北区芝田1-1-4 阪急ターミナルビル17F","050-5798-5727","","http://www.hankyu-hotel.com/hotel/osakashh/restaurant/205/index.html","","63席 掘りごたつ席あり カウンター席あり 夜景が見える","掘りごたつ個室あり（4名～10名様用/扉・壁あり） ※個室の詳細はお店にお問い合わせください"
"博多女","530-0003","大阪府大阪市北区堂島1-1-24 GOTS5 1F","050-5786-1444","","","","44席","座敷個室あり（1室/8名～12名様用/扉・壁あり） ※個室の詳細はお店にお問い合わせください"
"新世界 串かつ いっとく 阪急梅田東通店","530-0027","大阪府大阪市北区堂山町3-12 ステージスカラブビルB1","050-5789-7358","06-6920-6088","http://www.to-kosan.com/","info@to-kosan.com","66席","掘りごたつ個室あり（1室/25名様用） テーブル個室あり（1室/6名様用） ※個室の詳細はお店にお問い合わせください"
"九州屋台 寅男 お初天神店","530-0057","大阪府大阪市北区曽根崎2-7-13","050-5786-7255","","","","170席",""
"沖縄料理しーさ 茶屋町店","530-0013","大阪府大阪市北区茶屋町19-19 アプローズタワーB1","050-5789-0308","","","","50席 掘りごたつ席あり カウンター席あり","掘りごたつ個室あり（3室/3名～6名様用/カーテン仕切り） 掘りごたつ個室あり（1室/15名～20名様用/パーティション仕切り） ※個室の詳細はお店にお問い合わせください"
"北新地 Amuchan","530-0002","大阪府大阪市北区曽根崎新地1-9-4 中邦ビルB1","050-5786-4824","","","","30席","座敷個室あり（2室/2名～15名様用/カーテン仕切り） ※個室の詳細はお店にお問い合わせください"
"居魚菜家 おくまん 福島本店","553-0003","大阪府大阪市福島区福島7-14-16","050-5798-2865","","","","56席 掘りごたつ席あり カウンター席あり","掘りごたつ個室あり（～6名様用） ※個室の詳細はお店にお問い合わせください"
"鶏屋 東方見聞録 阪急梅田","530-0012","大阪府大阪市北区芝田1-4-8 北阪急ビルB1","050-5788-8690","","http://sankofoods.com/","","290席 座敷席あり 掘りごたつ席あり カウンター席あり","テーブル個室あり（2名～6名様用） 掘りごたつ個室あり（12名～20名様用/扉・壁あり） 掘りごたつ個室あり（16名～50名様用/扉・壁あり） ※個室の詳細はお店にお問い合わせください"
"九州沖縄三昧 ナンクルナイサ きばいやんせ～","530-0001","大阪府大阪市北区梅田1-8-16 ヒルトンプラザイーストB2","050-5796-2610","","","","97席 座敷席あり 掘りごたつ席あり カウンター席あり","掘りごたつ個室あり（15名～20名様用） 掘りごたつ個室あり（20名～30名様用） ※個室の詳細はお店にお問い合わせください"
"北新地 かじ","530-0003","大阪府大阪市北区堂島1-4-4 NJビルB1","050-5786-6886","","","","50席 カウンター席あり ソファー席あり","テーブル個室あり（1室/4名～10名様用/扉・壁あり） ※個室の詳細はお店にお問い合わせください"
"北新地 黒毛和牛焼肉 蔵人","530-0003","大阪府大阪市北区堂島1-4-23 北新地吉本ビル6F","050-5786-1324","","http://kuroudo.favy.jp/","","30席 座敷席あり 掘りごたつ席あり","掘りごたつ個室あり（1室/4名～11名様用/扉・壁あり） ※個室の詳細はお店にお問い合わせください"
"うまいもん居酒屋 もつ金 お初天神店","530-0057","大阪府大阪市北区曽根崎2-11-23","050-5797-6063","","","","150席 掘りごたつ席あり","テーブル半個室あり（2名～6名様用） ※個室の詳細はお店にお問い合わせください"
"季楽酒場 おっきゃがり","553-0003","大阪府大阪市福島区福島7-2-5","050-5799-5176","","","","80席 カウンター席あり","座敷個室あり（4室/2名～6名様用/パーティション仕切り） ※個室の詳細はお店にお問い合わせください"
"KICHIRI 茶屋町阪急駅前店","530-0013","大阪府大阪市北区茶屋町2-16 e-square chayamachi4F","050-5796-0775","","http://www.kichiri.com/","","240席 座敷席あり 掘りごたつ席あり カウンター席あり","掘りごたつ個室あり（1名～4名様用/扉・壁あり） 掘りごたつ個室あり（1名～10名様用/扉・壁あり） 座敷個室あり（1名～12名様用/扉・壁あり） 座敷個室あり（1名～30名様用/扉・壁あり） 座敷個室あり（1名～80名様用） ※個室の詳細はお店にお問い合わせください"
"日本料理 水面","530-0005","大阪府大阪市北区中之島6-2-39 中之島プラザ12F","050-5799-6940","06-6449-6735","http://www.nakanoshima-plaza.jp/restaurant/minamo.html","","122席 座敷席あり 座椅子あり 夜景が見える","座敷個室あり（5室/8名～48名様用） ※個室の詳細はお店にお問い合わせください"
"旬菜とお酒 あんばい ハービスPLAZA店","530-0001","大阪府大阪市北区梅田2-5-25 ハービスPLAZAB2","050-5796-9380","","","","96席 掘りごたつ席あり","掘りごたつ個室あり（～42名様用） 掘りごたつ個室あり（～14名様用） 掘りごたつ個室あり（～28名様用） テーブル個室あり（～8名様用） テーブル個室あり（～6名様用） ※個室の詳細はお店にお問い合わせください"
"備長串屋 わたる 西梅田店","530-0002","大阪府大阪市北区曽根崎新地2-5-32","050-5789-9410","","http://wsfoodservice.com/index.html","","85席 座敷席あり 掘りごたつ席あり","座敷個室あり（2室/6名～10名様用） ※個室の詳細はお店にお問い合わせください"
"懐処 多呼おどり 福島店","553-0003","大阪府大阪市福島区福島6-1-26 OK一番街1F","050-5786-1827","","","","38席",""
"農薬不使用野菜・こだわり素材の和食 達屋 阪急梅田店","530-0012","大阪府大阪市北区芝田1-6-13","050-5785-8888","","http://www.tazya.jp/","","30席",""
"料理酒房しょうち 梅田店","530-0051","大阪府大阪市北区太融寺町8-10 梅田高速ビルB1","06-6362-7677","","","","60席 座敷席あり 掘りごたつ席あり","掘りごたつ個室あり（2名～20名様用） 座敷個室あり（2名～16名様用） テーブル個室あり（3名～9名様用） 座敷個室あり（2名～4名様用） 座敷個室あり（2名～38名様用） ※個室の詳細はお店にお問い合わせください"
"しょうち 北新地店","530-0003","大阪府大阪市北区堂島1-5-38 宝寿北新地ビル2～3F","06-6346-3556","","","","70席 座敷席あり 座椅子あり","座敷個室あり（6名～10名様用） テーブル個室あり（6名～10名様用） ※個室の詳細はお店にお問い合わせください"
"串かつ場ぁ 聖天堂 福島店","553-0003","大阪府大阪市福島区福島8-19-19","050-5518-7070","","","","36席 掘りごたつ席あり カウンター席あり","掘りごたつ個室あり（16名～25名様用/扉・壁あり） ※個室の詳細はお店にお問い合わせください"
"うまうま","553-0003","大阪府大阪市福島区福島6-13-7","050-5787-2139","","","","49席 座敷席あり","座敷個室あり（1室/20名様用） ※個室の詳細はお店にお問い合わせください"
"水たき料亭 博多華味鳥 梅田西館","530-0001","大阪府大阪市北区梅田2-2-2 ヒルトンプラザウエスト5F","050-5796-8142","092-641-1278 092-632-2370","http://hanamidori.net/","","68席","テーブル個室あり（1室/4名～6名様用/扉・壁あり） ※個室の詳細はお店にお問い合わせください"
"北海しゃぶしゃぶ 梅田店","530-0056","大阪府大阪市北区兎我野町3-22 椿ビル1F","050-5799-6271","","","","58席 掘りごたつ席あり","掘りごたつ個室あり（4室/4名～20名様用/パーティション仕切り） ※個室の詳細はお店にお問い合わせください"
"甘太郎 阪急梅田店","530-0012","大阪府大阪市北区芝田1-7-2 阪急かっぱ横丁1F","050-5798-3323","","http://www.amataro.jp/","","208席 座敷席あり 掘りごたつ席あり カウンター席あり カップルシートあり ソファー席あり","掘りごたつ個室あり（8名～32名様用/扉・壁あり） テーブル個室あり（2名～8名様用/カーテン仕切り） ※個室の詳細はお店にお問い合わせください"
"炭火焼鳥 権兵衛 茶屋町店","530-0013","大阪府大阪市北区茶屋町15-8","050-5788-5408","","http://www.gonbei.co.jp/","","67席","座敷個室あり（1室/25名～28名様用） テーブル個室あり（2室/6名～10名様用） ※個室の詳細はお店にお問い合わせください"
"スエヒロ 本店","530-0002","大阪府大阪市北区曽根崎新地1-11-11","050-5788-2758","","","","120席 座敷席あり 掘りごたつ席あり 座椅子あり","掘りごたつ個室あり（2名～10名様用） 座敷個室あり（8名～40名様用） テーブル個室あり（12名～30名様用） ※個室の詳細はお店にお問い合わせください"
"炭火焼 炉暖 野田店","553-0005","大阪府大阪市福島区野田3-12-22 三和ビル1F","050-5789-8470","","","","32席",""
"四季自然喰処たちばな ヒルトンプラザ イースト店","530-0001","大阪府大阪市北区梅田1-8-16 ヒルトンプラザB2","050-5786-1037","","http://www.tcbn.co.jp","","250席 座敷席あり 掘りごたつ席あり","掘りごたつ個室あり（2名～6名様用） 掘りごたつ個室あり（6名～12名様用） 掘りごたつ個室あり（12名～20名様用） 座敷個室あり（20名～30名様用） 座敷個室あり（30名～40名様用） ※個室の詳細はお店にお問い合わせください"
"旬魚割烹 隼人 北新地","530-0002","大阪府大阪市北区曽根崎新地1-1-7","050-5786-1648","","","","22席 掘りごたつ席あり カウンター席あり","掘りごたつ個室あり（7名～10名様用/扉・壁あり） 掘りごたつ個室あり（4名様用/カーテン仕切り） 掘りごたつ個室あり（1室/6名様用） ※個室の詳細はお店にお問い合わせください"
"麺匠の心つくし つるとんたん 北新地店","530-0002","大阪府大阪市北区曽根崎新地1-1-19","050-5785-7397","","","","66席",""
"梅田 まぐろバル マグシェ","530-0003","大阪府大阪市北区堂島1-3-17 スリーエイトビル2F","050-5797-8590","","","","24席","テーブル個室あり（1室/14名～24名様用） ※個室の詳細はお店にお問い合わせください"
"地鶏焼 鶏天神 梅田店","530-0057","大阪府大阪市北区曽根崎2-7-2 梅新会館3F","050-5786-1696","","","","45席 座椅子あり カウンター席あり カップルシートあり","テーブル個室あり（3室/2名～30名様用/カーテン仕切り） ※個室の詳細はお店にお問い合わせください"
"車 梅田HEP通店","530-0017","大阪府大阪市北区角田町6-9","050-5798-0735","","","","98席 掘りごたつ席あり","掘りごたつ個室あり（7名～10名様用） ※個室の詳細はお店にお問い合わせください"
